0:0:0:0:0:0:0:1 - - [20/May/2022:14:45:52 +0700] "POST /LinhWine/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:45:52 +0700] "GET /LinhWine/ HTTP/1.1" 200 147523
0:0:0:0:0:0:0:1 - - [20/May/2022:14:45:52 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [20/May/2022:14:45:52 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:45:52 +0700] "GET /LinhWine/assets/user/img/chivas-regal-18-nam-177.jpg HTTP/1.1" 200 49714
0:0:0:0:0:0:0:1 - - [20/May/2022:14:45:56 +0700] "GET /LinhWine/thong-tin-tai-khoan HTTP/1.1" 200 39495
0:0:0:0:0:0:0:1 - - [20/May/2022:14:45:56 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [20/May/2022:14:45:56 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:46:09 +0700] "GET /LinhWine/san-pham/1 HTTP/1.1" 200 59035
0:0:0:0:0:0:0:1 - - [20/May/2022:14:46:09 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:46:09 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:46:09 +0700] "GET /LinhWine/assets/user/img/vang-bich-la-roca-sauvignon-blanc-3l-chile-2052.jpg HTTP/1.1" 200 78529
0:0:0:0:0:0:0:1 - - [20/May/2022:14:46:10 +0700] "GET /LinhWine/san-pham/images/2021/03/cropped-logo-ico-small-1-32x32.png HTTP/1.1" 404 682
